name,"image url",price
"Fog Lamp Clamp Set",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$45.95
"Small Tank Pad Protector, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JA4-PAD.jpg.ashx?mh=171&mw=171,$9.95
"Small Tank Pad Protector, Clear",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JA5-PAD.jpg.ashx?mh=171&mw=171,$9.95
"Front Wheel Decal, Grey V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JF5-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Front Wheel Decal, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JF6-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Rear Wheel Decal, Grey V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JR5-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Rear Wheel Decal, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$29.95
"V-Strom Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JTP.jpg.ashx?mh=171&mw=171,$29.95
"2-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0A2.jpg.ashx?mh=171&mw=171,$19.95
"4-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0B4.jpg.ashx?mh=171&mw=171,$36.95
"6-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0A6.jpg.ashx?mh=171&mw=171,$49.95
"Aluminum Side Case Set, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSC5-037.jpg.ashx?mh=171&mw=171,$749.95
"Aluminum Side Case Set, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSC6-037.jpg.ashx?mh=171&mw=171,$749.95
"38L Top Case, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALTC1-038.jpg.ashx?mh=171&mw=171,$439.95
"38L Top Case, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALTC2-038.jpg.ashx?mh=171&mw=171,$439.95
"55 Liter Top Case",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-E/990D0-E5500.jpg.ashx?mh=171&mw=171,$349.95
"Top Case Backrest",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-T/990D0-TC25L-005.jpg.ashx?mh=171&mw=171,$139.95
"Gel Seat  ('04-'11)",https://store.suzukicycles.com/~/media/Store/Cycles/9/99950-62186.jpg.ashx?mh=171&mw=171,$249.95
"12V DC Socket",https://store.suzukicycles.com/~/media/Store/Cycles/3/38850-31810.jpg.ashx?mh=171&mw=171,$39.95
"Center Stand, V-Strom 1050 ('20)",https://store.suzukicycles.com/~/media/Store/Cycles/4/42100-31830.jpg.ashx?mh=171&mw=171,$299.95
"Gray/Black Low Seat",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-06L50-B03.jpg.ashx?mh=171&mw=171,$234.95
"Blue/Gray Low Seat",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-06L50-B1H.jpg.ashx?mh=171&mw=171,$234.95
"Seat Height Adjust Kit",https://store.suzukicycles.com/~/media/Store/Cycles/4/45300-06810.jpg.ashx?mh=171&mw=171,$39.95
"Upper Side Case Bracket",https://store.suzukicycles.com/~/media/Store/Cycles/4/47500-06810.jpg.ashx?mh=171&mw=171,$39.95
"Windscreen Adjust Kit",https://store.suzukicycles.com/~/media/Store/Cycles/4/48400-06810.jpg.ashx?mh=171&mw=171,$99.95
"Heated Grip Set",https://store.suzukicycles.com/~/media/Store/Cycles/5/57100-06820.jpg.ashx?mh=171&mw=171,$399.95
"Hand Guards",https://store.suzukicycles.com/~/media/Store/Cycles/5/57300-06810.jpg.ashx?mh=171&mw=171,$89.95
"Top Case",https://store.suzukicycles.com/~/media/Store/Cycles/9/93300-31810.jpg.ashx?mh=171&mw=171,$749.95
"Lower Side Case Bracket",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$79.95
"Top Case Adapter Plate",https://store.suzukicycles.com/~/media/Store/Cycles/9/93900-31810.jpg.ashx?mh=171&mw=171,$129.95
"Accessory Bar, Lower",https://store.suzukicycles.com/~/media/Store/Cycles/9/94200-06810.jpg.ashx?mh=171&mw=171,$319.95
"Aluminum Under Cowling",https://store.suzukicycles.com/~/media/Store/Cycles/9/94200-06820.jpg.ashx?mh=171&mw=171,$109.95
"Plastic Under Cover",https://store.suzukicycles.com/~/media/Store/Cycles/9/94400-06830.jpg.ashx?mh=171&mw=171,$109.95
"Fog Lamp Set",https://store.suzukicycles.com/~/media/Store/Cycles/9900/99000-990D2-214.jpg.ashx?mh=171&mw=171,$529.95
"Suzuki Tire Valve Caps",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-1/990A0-19069.jpg.ashx?mh=171&mw=171,$13.95
"V-Strom Full Cover",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-3/990A0-37002.jpg.ashx?mh=171&mw=171,$139.95
"Suzuki Dry Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-3/990A0-37010.jpg.ashx?mh=171&mw=171,$99.95
"Small Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64004.jpg.ashx?mh=171&mw=171,$21.95
"Large Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64005.jpg.ashx?mh=171&mw=171,$29.95
"Medium Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64015.jpg.ashx?mh=171&mw=171,$26.95
"Carbon Fuel Cap Decal",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64083.jpg.ashx?mh=171&mw=171,$24.95
"""S"" Emblem",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-9/990A0-94020.jpg.ashx?mh=171&mw=171,$19.95
"Ring Mount",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04105-000.jpg.ashx?mh=171&mw=171,$49.95
"Small Ring Lock Tank Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04300.jpg.ashx?mh=171&mw=171,$139.95
"Large Ring Lock Tank Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04600.jpg.ashx?mh=171&mw=171,$249.95
"Ring Mount Adapter",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04610.jpg.ashx?mh=171&mw=171,$49.95
"Accessory Bar, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31J00-030.jpg.ashx?mh=171&mw=171,$379.95
"Top Case Carrier Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L00-060.jpg.ashx?mh=171&mw=171,$219.95
"Top Case Carrier Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L01-060.jpg.ashx?mh=171&mw=171,$239.95
"Side Case Carrier Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L01-065.jpg.ashx?mh=171&mw=171,$499.95
"V-Strom Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L01-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Fuel Tank Protection Foil",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L02-PAD.jpg.ashx?mh=171&mw=171,$24.95
"Side Cover Protection Foil",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06L03-PAD.jpg.ashx?mh=171&mw=171,$24.95
